@relation example1

@attribute name string
@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric

@data
'sample01',3.196265e+001,3.596571e+000,2.982391e+001,-1.494194e+001,-1.421369e+000,-1.197791e+000,-2.794174e+001,1.232368e+001,9.807401e+000,5.998366e+000,7.008571e+000,-1.498295e+001,1.798146e+001,-6.319616e+000
'sample01',3.470079e+001,-9.163417e+000,2.088632e+001,-1.932319e+001,-6.253987e+000,2.515052e+000,-2.333273e+001,2.709180e+001,6.667316e+000,7.484614e+000,2.757341e+000,-2.192887e+001,2.007940e+001,-1.030812e+001
'sample01',3.402261e+001,-1.415323e+001,1.692647e+001,-1.913023e+001,-9.870492e+000,1.136578e+001,-1.594631e+001,3.013443e+001,4.541616e+000,6.703529e+000,1.827265e+000,-2.967403e+001,2.399436e+001,-1.299987e+001
'sample01',3.174388e+001,-1.074520e+001,1.242815e+001,-1.789085e+001,-4.616238e+000,1.514667e+001,-8.895396e+000,2.320057e+001,4.708065e+000,7.067792e+000,-5.850222e-001,-2.874950e+001,2.319563e+001,-1.053957e+001
'sample01',3.121354e+001,-4.677589e+000,1.223383e+001,-1.794986e+001,5.686531e-001,1.745102e+001,-3.475703e+000,1.881711e+001,1.272335e+000,8.961932e+000,1.467308e+000,-2.447675e+001,2.145176e+001,-1.016509e+001
'sample01',2.963087e+001,3.163460e-001,1.561346e+001,-1.234879e+001,5.923346e+000,1.791376e+001,-6.868303e-002,1.159620e+001,-7.958742e-001,1.154014e+001,9.237722e-001,-1.744556e+001,1.789514e+001,-7.498642e+000
'sample01',2.630027e+001,9.483983e-001,2.298571e+001,-3.459187e+000,7.556711e+000,2.100132e+001,3.134164e+000,1.558936e+001,3.054706e+000,6.249449e+000,1.230359e+000,-1.270321e+001,1.058229e+001,-1.956520e+000
'sample01',1.991390e+001,3.798419e+000,2.400516e+001,5.489335e+000,1.282662e+001,1.892841e+001,4.587107e+000,1.396617e+001,1.194971e+001,1.302057e+000,5.793421e+000,-8.319718e+000,5.045745e+000,4.754818e+000
'sample01',1.604228e+001,1.044175e+001,2.008079e+001,7.667139e+000,1.398678e+001,1.130695e+001,6.363158e+000,1.399999e+001,1.267808e+001,-2.140676e+000,7.971371e+000,-3.117989e+000,2.135857e+000,7.122026e+000
'sample01',1.173097e+001,1.364925e+001,1.292297e+001,1.293949e+001,2.032505e+001,8.560544e+000,9.006667e+000,1.339184e+001,7.182813e+000,-3.950098e+000,1.008348e+001,4.647076e+000,3.808947e+000,3.541103e+000
'sample01',7.999547e+000,1.150430e+001,1.038381e+001,1.683294e+001,2.222848e+001,1.283527e+001,1.274708e+001,1.266609e+001,6.496305e+000,-1.592610e+000,7.675307e+000,9.591031e+000,5.291269e+000,-6.273022e-001
'sample01',1.042328e+001,9.333354e+000,1.953773e+000,1.578757e+001,2.476615e+001,1.274283e+001,2.170707e+001,1.199175e+001,5.606592e+000,-9.405798e+000,9.892594e+000,6.041903e+000,7.186986e+000,-3.500602e+000
'sample01',1.114754e+001,1.046935e+001,-7.016156e-001,1.244532e+001,2.262847e+001,1.339822e+001,2.434785e+001,9.240445e+000,-3.862950e-001,-1.429129e+001,1.188809e+001,-2.481983e+000,1.045686e+001,-1.792936e+000
'sample01',1.700932e+001,1.434432e+001,-1.998486e+000,1.123993e+001,1.563333e+001,6.665848e+000,1.844312e+001,7.095567e+000,-9.423509e+000,-1.997511e+001,1.654421e+001,-1.031341e+001,1.394608e+001,-2.095107e+000
'sample01',1.286953e+001,1.268279e+001,4.620905e+000,1.395413e+001,1.834964e+001,1.482537e+001,1.034354e+001,1.082801e+001,-1.042031e+001,-2.167200e+001,1.725276e+001,-1.385915e+001,1.829484e+001,-2.673588e+000
'sample01',1.892490e+001,1.915105e+001,1.274644e+001,1.579928e+001,1.611422e+001,1.239156e+001,3.002403e+000,2.780164e+000,-7.514730e+000,-2.026190e+001,2.007022e+001,-1.389505e+001,1.281273e+001,-6.507878e+000
'sample01',2.592643e+001,2.331581e+001,1.855617e+001,1.367968e+001,1.880402e+001,1.537764e+001,2.248038e+000,-4.275589e+000,-9.263791e+000,-2.278140e+001,2.115963e+001,-1.096278e+001,1.115255e+001,-5.864521e+000
'sample01',3.455688e+001,2.946815e+001,2.451147e+001,1.298476e+001,1.413960e+001,9.657727e+000,-1.159989e+000,-1.061098e+001,-1.333716e+001,-1.689159e+001,1.923028e+001,-5.545750e+000,5.839222e+000,-2.551856e+000
'sample01',3.500587e+001,2.464857e+001,2.570707e+001,9.277770e+000,1.654942e+001,5.509846e+000,-6.345875e+000,-1.357239e+001,-1.303761e+001,-8.597499e+000,1.483490e+001,-3.069018e+000,7.175050e+000,4.820903e+000
'sample01',3.394215e+001,2.059267e+001,2.629311e+001,1.351670e+001,1.829837e+001,-2.590770e+000,-1.786282e+001,-6.076369e+000,-6.151112e+000,-6.713409e+000,5.875374e+000,-2.450509e+000,8.075138e+000,6.288217e+000
'sample01',3.133453e+001,1.810599e+001,2.814993e+001,1.802820e+001,1.662257e+001,-5.874827e+000,-2.215872e+001,-1.223162e+001,3.790668e+000,-7.814077e+000,4.248163e+000,-3.771737e+000,1.186466e+001,8.966737e+000
'sample01',2.843218e+001,1.959178e+001,3.093538e+001,2.240155e+001,4.055081e+000,-3.571069e+000,-1.725096e+001,-1.125182e+001,4.342880e+000,-1.107839e+001,4.937665e+000,-1.473117e-001,1.089534e+001,6.886383e+000
'sample01',2.000008e+001,1.809368e+001,3.495137e+001,1.718259e+001,-2.501420e+000,3.490747e+000,3.660014e+000,-2.382212e+001,4.805587e+000,-1.051852e+001,4.908732e+000,1.992850e+000,7.407978e+000,2.176828e+000
'sample01',1.761010e+001,1.480243e+001,3.652016e+001,1.191106e+001,-4.110219e+000,-3.543279e+000,7.842266e+000,-1.755736e+001,-1.539586e+000,-1.409776e+001,6.315292e+000,5.628521e+000,3.985751e+000,-3.244590e+000
'sample01',1.930453e+001,9.670134e+000,4.034685e+001,4.108497e+000,-5.601934e+000,-9.332509e+000,4.798856e+000,-1.599757e+001,-3.776407e+000,-1.939021e+001,1.368308e+001,2.104266e+000,6.120623e+000,-1.703009e+000
'sample01',2.259908e+001,8.314826e+000,4.462341e+001,3.799831e+000,-1.564073e+001,-1.393041e+001,-6.107232e+000,-1.161316e+001,-1.028594e+001,-2.185796e+001,2.257929e+001,-4.347593e+000,8.857869e+000,3.224151e+000
'sample01',2.287609e+001,8.757156e+000,4.977767e+001,4.103151e+000,-2.527209e+001,-6.544691e+000,-6.189846e+000,-1.877062e+001,-1.133138e+001,-1.808195e+001,2.547617e+001,-1.167478e+001,9.587215e+000,8.890126e+000
'sample01',2.205270e+001,1.136517e+001,4.561009e+001,5.533237e+000,-2.615197e+001,-6.395659e-001,4.914812e-001,-2.286788e+001,-1.106968e+001,-9.284320e+000,1.701628e+001,-1.527204e+001,9.521028e+000,1.169408e+001
'sample01',2.303232e+001,5.932086e+000,3.889041e+001,1.942162e+001,-1.216100e+001,8.210972e-001,7.207289e+000,-1.718482e+001,-7.145586e+000,-2.171674e-001,7.444274e+000,-1.711490e+001,4.756643e+000,1.065116e+001
'sample01',2.002120e+001,1.835941e+000,3.240271e+001,2.963235e+001,-3.699463e+000,-4.325566e+000,1.405604e+001,-7.535350e-001,-5.947405e+000,8.724294e-001,5.899824e+000,-8.549320e+000,1.505286e+000,6.168580e+000
'sample01',1.799745e+001,-1.050155e+001,1.615349e+001,3.117995e+001,1.100734e+001,-1.794774e+000,9.095944e+000,7.958509e+000,-1.473080e+000,3.060239e+000,6.111324e+000,-2.525606e-001,1.268434e+000,-1.633273e+000
'sample01',1.644703e+001,-1.181659e+001,-4.004389e-001,1.729101e+001,1.445376e+001,1.094693e+000,3.593570e+000,1.014461e+001,9.193198e-002,5.137350e+000,1.079248e+001,1.322118e+001,5.827945e+000,8.776553e-001
'sample01',9.820815e+000,-5.496297e+000,-3.525152e+000,9.068162e+000,2.135697e+001,9.912446e+000,6.046162e-001,-1.493950e+000,3.302396e+000,1.173151e+001,1.141204e+001,1.094601e+001,6.968534e+000,4.693506e+000
'sample01',-6.219380e-001,3.357947e+000,7.913038e+000,6.023846e+000,1.718895e+001,5.452604e+000,5.094786e+000,-4.206903e+000,3.486513e-001,4.739615e+000,1.021537e+001,1.049800e+001,3.654724e+000,6.318379e+000
'sample01',-1.123263e+001,8.387382e+000,1.664150e+001,2.426420e+000,1.205357e+001,-5.018498e+000,4.585939e+000,-3.646907e+000,-5.309342e+000,-2.837589e+000,7.405987e+000,7.910233e+000,2.045253e+000,7.185879e-001
'sample01',-1.062097e+001,3.123411e+000,1.506790e+001,-1.704741e+000,8.069324e+000,-1.950603e+001,-2.699986e+000,4.268096e+000,-6.796303e+000,-7.897155e+000,3.804320e+000,1.033319e+001,3.740874e+000,-7.582926e+000
'sample01',-4.470564e-001,3.505473e+000,1.369963e+001,-1.143895e+000,6.514341e+000,-3.019087e+001,-1.459151e+001,1.165523e+001,2.452824e+000,-5.866141e+000,-1.265643e-001,5.811000e+000,1.089325e+001,-1.061594e+001
'sample01',1.161274e+001,7.985403e-001,1.428017e+001,-4.997650e+000,1.166238e+000,-3.058433e+001,-2.360229e+001,8.685412e+000,1.314249e+001,4.601320e+000,-4.414413e+000,-5.407028e-001,1.350989e+001,-1.006709e+001
'sample01',2.025228e+001,-7.355839e+000,1.255871e+001,-1.831130e+001,-4.092838e+000,-2.448482e+001,-3.203776e+001,6.701037e+000,1.952098e+001,1.934927e+001,-6.165976e+000,-9.368167e+000,1.379214e+001,-9.680524e+000
'sample01',2.547044e+001,-1.510735e+001,1.133162e+001,-3.202132e+001,-7.136333e+000,-1.315084e+001,-2.886919e+001,-3.466344e+000,1.216511e+001,3.018794e+001,-1.714203e+000,-1.158898e+001,4.906119e+000,-5.538137e+000
'sample01',3.034778e+001,-1.804283e+001,1.122342e+001,-3.959890e+001,-4.559169e+000,6.716140e-001,-2.686201e+001,-5.550740e+000,3.571466e+000,3.422819e+001,2.995642e+000,-1.487516e+001,-2.982128e+000,-3.052732e+000
'sample01',3.652047e+001,-1.125792e+001,1.068700e+001,-3.924910e+001,-2.207337e+000,1.440437e+001,-1.813782e+001,-1.354862e+001,-1.964262e+000,2.999286e+001,4.744220e+000,-9.827722e+000,-1.154404e+001,1.929843e+000
'sample01',3.580608e+001,-2.858274e+000,9.808937e+000,-2.880827e+001,2.648640e+000,2.352057e+001,-8.718196e+000,-1.109391e+001,1.769805e+000,2.424059e+001,7.951548e+000,-4.415319e+000,-9.344861e+000,1.310613e+000
'sample01',2.668639e+001,6.931488e+000,1.411297e+001,-1.128793e+001,1.136948e+001,2.216138e+001,4.494090e+000,-8.851639e+000,7.623896e+000,1.645357e+001,7.365013e+000,5.415918e+000,-6.389692e+000,-1.573881e-002
'sample01',1.206474e+001,9.964824e+000,1.662149e+001,6.933229e+000,2.306681e+001,1.939845e+001,1.308248e+001,7.784595e-001,1.184368e+001,5.961009e+000,1.039163e+001,9.071995e+000,-1.699943e+000,2.469601e+000
'sample01',-8.475178e-001,1.068197e+001,1.655648e+001,1.241976e+001,2.816891e+001,1.157870e+001,1.034410e+001,6.233231e+000,1.714094e+001,5.295759e+000,8.026641e+000,1.062992e+001,-2.874835e+000,4.255857e+000
'sample01',-8.179352e+000,5.894261e+000,1.829599e+001,1.234202e+001,2.951245e+001,5.842337e+000,4.657631e+000,1.166591e+001,1.580671e+001,-5.264812e-001,7.434905e+000,5.868681e+000,-2.992704e+000,4.551155e+000
'sample01',-1.064968e+001,5.994923e+000,2.101307e+001,1.001018e+001,2.845376e+001,3.864562e+000,-3.393279e+000,1.790706e+001,1.648610e+001,-2.317014e+000,5.177054e+000,5.721604e+000,-3.647762e+000,-1.262665e-001
'sample01',-1.399114e+001,7.421026e+000,2.615452e+001,1.080633e+001,3.291925e+001,2.678488e+000,-7.345678e+000,1.918685e+001,1.480197e+001,-1.417137e+000,7.213745e+000,6.383619e+000,2.441747e+000,-2.592989e+000
'sample01',-1.884429e+001,7.744295e+000,2.230018e+001,4.859044e+000,3.325869e+001,5.030727e+000,-1.138973e+000,1.931341e+001,1.343195e+001,2.939031e+000,9.588013e+000,8.372453e+000,7.643519e+000,4.211941e-001
'sample01',-2.419476e+001,6.971345e+000,1.966525e+001,-1.636240e+000,3.079298e+001,-6.720877e+000,1.374676e+000,1.040762e+001,1.025094e+001,4.023295e+000,6.223911e+000,5.864452e+000,1.203798e+001,-1.157362e-001
'sample01',-1.428688e+001,1.008703e+001,2.566808e+001,-5.610478e+000,2.032802e+001,-1.592698e+001,2.241097e+000,6.186327e+000,-4.272626e-001,7.950675e-001,3.021585e-001,3.610533e-001,1.150322e+001,-1.096384e-001
'sample01',4.747069e+000,1.048877e+001,3.281192e+001,-2.763680e+000,7.316612e+000,-2.333936e+001,-7.335565e+000,3.326760e+000,-5.612629e+000,-1.774003e+000,2.187828e+000,-5.829023e+000,1.222601e+001,-2.925852e+000
'sample01',2.456171e+001,6.887064e+000,4.095749e+001,-1.028309e+000,-7.967864e+000,-1.593362e+001,-1.636220e+001,6.798374e+000,-1.458129e+001,3.095363e-001,1.146742e+001,-1.366733e+001,1.665289e+001,-1.379170e+000
'sample01',3.348939e+001,-3.084663e+000,3.926221e+001,-2.685809e+000,-1.451405e+001,-9.240665e+000,-2.660643e+001,8.394562e+000,-1.561761e+001,1.378214e+000,2.131113e+001,-1.742996e+001,1.881089e+001,-1.407308e+000
'sample01',3.632206e+001,-5.509676e+000,3.520657e+001,-6.381698e+000,-1.140155e+001,1.970190e+000,-3.047158e+001,1.087063e+000,-1.232490e+001,3.127736e+000,2.351472e+001,-1.577291e+001,1.326158e+001,2.825193e+000
'sample01',3.997697e+001,-2.309477e+000,3.104119e+001,-3.360538e+000,-2.107585e-001,8.894160e+000,-2.297287e+001,-6.950436e+000,-1.585367e+001,-1.201277e+000,2.522977e+001,-9.969248e+000,6.372827e+000,9.247448e-001
'sample01',4.092663e+001,4.061580e+000,2.699151e+001,7.402580e-001,4.768160e+000,1.690839e+001,-1.219514e+001,-1.451592e+001,-2.488510e+001,-7.438063e+000,2.674318e+001,-5.308534e+000,6.280813e+000,-4.858920e-001
'sample01',4.088431e+001,6.805475e+000,2.734093e+001,5.449076e+000,7.058192e+000,1.897158e+001,-6.838068e+000,-1.762654e+001,-3.848621e+001,-1.142211e+001,2.521767e+001,-5.075499e+000,1.366495e+001,-4.912965e+000
'sample01',4.047997e+001,7.447399e+000,2.291205e+001,3.073921e+000,6.954630e+000,1.913873e+001,-8.156007e+000,-2.336631e+001,-4.083926e+001,-9.572452e+000,2.099776e+001,-5.525967e+000,1.812512e+001,-2.475052e+000
'sample01',4.022849e+001,4.401850e+000,1.528858e+001,-5.372345e+000,7.648770e+000,2.247539e+001,-9.446335e+000,-2.573996e+001,-3.231319e+001,-8.097381e+000,1.410895e+001,-4.551203e+000,9.694122e+000,-1.325230e+000
'sample01',4.075225e+001,-5.441572e+000,7.467917e+000,-1.797140e+001,4.489123e+000,3.211717e+001,-1.371490e+001,-2.473366e+001,-1.639862e+001,2.188587e-002,1.313431e+001,-5.868480e+000,-5.179638e+000,-5.041609e+000
'sample01',3.943475e+001,-1.585739e+001,-1.695782e-001,-2.678032e+001,3.730775e+000,3.772478e+001,-1.433194e+001,-2.044164e+001,1.680133e+000,9.499257e+000,6.807325e+000,-1.255158e+001,-1.612803e+001,-4.866209e+000
'sample01',3.682435e+001,-2.549874e+001,4.939829e-001,-3.057559e+001,5.730791e+000,3.435314e+001,-1.456762e+001,-1.182153e+001,8.126868e+000,1.713339e+001,6.256393e-001,-2.035556e+001,-1.358833e+001,-9.765085e-002
'sample01',3.531530e+001,-2.800434e+001,1.274315e+000,-2.599835e+001,8.241870e+000,2.378671e+001,-1.049600e+001,-1.097363e+000,8.770686e+000,1.383902e+001,-8.026527e+000,-2.646715e+001,-2.323023e+000,5.862188e+000
'sample01',3.425921e+001,-2.716531e+001,1.976450e+000,-2.183203e+001,1.110093e+001,1.207398e+001,-9.049415e+000,1.238811e+001,4.372130e+000,6.170809e+000,-1.038077e+001,-2.704638e+001,9.254375e+000,5.463719e+000
'sample01',3.382775e+001,-2.227135e+001,3.310088e+000,-1.459766e+001,6.117667e+000,6.784556e+000,-6.252855e+000,1.767438e+001,3.351386e+000,5.492902e-001,-8.682002e+000,-2.668109e+001,1.572411e+001,-1.472327e+000
'sample01',3.255594e+001,-1.352202e+001,5.301047e+000,-1.135933e+001,5.604221e+000,-4.901744e-001,-7.532056e+000,2.228379e+001,3.160313e+000,-9.336373e-001,-8.600404e+000,-2.282470e+001,1.827054e+001,-9.312350e+000
'sample01',3.159940e+001,-7.409428e+000,1.101280e+001,-9.379539e+000,-1.369190e-001,-2.275397e+000,-8.869710e+000,2.397418e+001,3.473075e+000,-2.391902e+000,-7.253676e+000,-1.748195e+001,1.697648e+001,-1.693347e+001
'sample01',3.175241e+001,-2.132950e+000,9.558090e+000,-6.568027e+000,-3.924704e+000,-4.602044e+000,-9.904996e+000,2.760390e+001,7.136221e-001,-3.708564e+000,-4.796822e+000,-1.695526e+001,1.849932e+001,-2.000859e+001
'sample01',3.087379e+001,1.017332e+000,9.750713e+000,-6.454426e+000,-4.825225e+000,-8.426705e+000,-8.175977e+000,2.633420e+001,-3.226896e+000,-3.362137e+000,-3.618429e+000,-1.485864e+001,1.977884e+001,-2.067959e+001
'sample01',3.143938e+001,3.963065e+000,8.455841e+000,-1.669417e+000,-5.212166e+000,-1.467046e+001,-7.738642e+000,2.194762e+001,-4.410547e+000,-1.079168e+000,-2.466055e+000,-1.406075e+001,2.571379e+001,-2.320128e+001
'sample01',2.906326e+001,9.845777e+000,1.132278e+001,-9.752750e-001,6.558399e-001,-2.075543e+001,-7.394985e+000,1.280799e+001,-7.245210e-001,3.819207e+000,-4.338979e+000,-7.799707e+000,2.631595e+001,-2.161472e+001
'sample01',2.297013e+001,1.742947e+001,1.252551e+001,5.430354e+000,6.640634e+000,-2.215299e+001,-2.132879e+000,5.062152e+000,6.287514e+000,4.153442e+000,-7.273545e+000,-1.574178e+000,2.365596e+001,-1.525915e+001
'sample01',9.538598e+000,2.700732e+001,1.255371e+001,1.312730e+001,1.596653e+001,-1.448438e+001,7.111143e+000,2.138222e+000,1.069669e+001,1.971674e+000,-9.896333e+000,1.710526e+000,1.333954e+001,-6.244295e+000
'sample01',-5.141083e+000,2.967027e+001,1.114701e+001,1.706893e+001,2.550646e+001,-8.898713e+000,1.676017e+001,3.277590e+000,1.165735e+001,-4.282764e+000,-1.117936e+001,7.514202e+000,4.099984e+000,-4.852018e+000
'sample01',-2.119575e+001,2.392670e+001,8.543597e+000,1.488875e+001,3.206412e+001,-3.796037e-002,1.934326e+001,1.199007e+001,7.692621e+000,-3.930125e+000,-2.683315e+000,5.795112e+000,-1.069794e+000,-8.336755e+000
'sample01',-3.257034e+001,1.320435e+001,4.727367e+000,4.397614e+000,3.202578e+001,-5.103758e-001,1.590269e+001,1.337886e+001,-1.467757e+000,-3.582694e+000,1.095045e+001,1.172346e+001,4.264362e+000,-6.568425e+000
'sample01',-3.899278e+001,6.230658e+000,1.500689e+000,-6.944090e+000,2.200858e+001,-4.274645e+000,7.431913e+000,1.429059e+001,-3.814700e+000,-2.103175e+000,2.170002e+001,1.471704e+001,1.110780e+001,-3.372781e+000
'sample01',-4.109711e+001,4.308392e+000,9.244316e-001,-1.657166e+001,1.290580e+001,-8.472012e+000,2.372902e+000,4.226193e+000,2.216040e-001,-8.695245e+000,2.413685e+001,1.836204e+001,1.252243e+001,-1.455629e-002
'sample01',-4.236317e+001,6.998492e+000,2.787928e+000,-2.032128e+001,1.188927e+001,-5.069600e+000,4.990814e+000,-1.974281e-002,1.219976e+001,-1.067916e+001,1.594703e+001,1.978280e+001,1.367879e+001,-1.464916e+000
'sample01',-4.605458e+001,7.257346e+000,6.740718e+000,-1.894714e+001,1.901864e+001,3.830317e+000,6.149632e+000,-7.244460e+000,1.834506e+001,-1.130023e+001,1.220941e+001,1.982651e+001,1.122061e+001,-5.817763e-001
'sample01',-4.681550e+001,7.148071e+000,5.990343e+000,-2.192936e+001,1.920596e+001,2.308571e+000,6.476899e+000,-7.024742e+000,2.230215e+001,-1.282010e+001,9.994703e+000,1.524521e+001,1.224550e+001,1.117735e+000
'sample01',-4.486155e+001,3.611040e+000,5.888029e+000,-2.649436e+001,1.617352e+001,-3.960043e+000,-1.241446e+000,-9.873483e+000,2.138980e+001,-1.819072e+001,1.125822e+001,8.789897e+000,1.044050e+001,1.925658e+000
'sample01',-3.528842e+001,1.601966e+000,7.641785e+000,-2.421593e+001,1.694721e+001,-7.247072e+000,-7.137065e+000,-5.986159e+000,1.914286e+001,-2.062006e+001,1.335641e+001,3.879572e+000,5.962773e+000,1.427750e+000
'sample01',-2.293595e+001,-1.872729e+000,6.625175e+000,-2.039330e+001,2.344710e+001,3.318253e+000,-8.066354e+000,-4.596489e+000,1.487314e+001,-1.810958e+001,1.163620e+001,6.368845e+000,3.535765e+000,3.583878e-001
